ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,sex_dm1,sex_dm2,marriage_dm1,marriage_dm2,all_delays_sum,all_bills_sum,all_payments_sum,bill_payment_ratio
27351,200000.0,1,0,2,32,-1,-1,-1,-2,-2,-2,1125.0,2182.0,0.0,0.0,0.0,0.0,2182.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,-9,3307.0,2182.0,1.5155820348304307
22030,320000.0,2,0,2,28,0,0,0,0,0,0,293073.0,293210.0,290057.0,25922.0,22982.0,20553.0,13300.0,12756.0,1295.0,10312.0,8394.0,8242.0,0,1,0,1,0,945797.0,54299.0,17.418313412770033
22167,170000.0,2,0,2,27,-1,-1,2,-1,-1,-1,356.0,1472.0,736.0,736.0,736.0,736.0,1536.0,0.0,736.0,736.0,736.0,736.0,0,1,0,1,-3,4772.0,4480.0,1.0651785714285715
1881,90000.0,2,2,1,40,0,0,0,0,0,0,89928.0,81721.0,76947.0,46589.0,47730.0,49488.0,3416.0,4142.0,1700.0,1888.0,2710.0,1500.0,0,1,1,0,0,392403.0,15356.0,25.553724928366762
1320,250000.0,2,0,1,43,-1,-1,-1,0,0,-1,17454.0,-50.0,45297.0,17371.0,11481.0,5922.0,24890.0,48394.0,0.0,5461.0,15000.0,6000.0,0,1,1,0,-4,97475.0,99745.0,0.9772419670158905
26564,50000.0,2,2,2,56,0,0,0,0,0,0,48155.0,49157.0,50417.0,48371.0,15417.0,16194.0,1798.0,2058.0,1683.0,600.0,1017.0,20698.0,0,1,0,1,0,227711.0,27854.0,8.175163351762762
24680,130000.0,2,0,2,33,2,2,-2,-2,-2,-2,1022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,-4,1022.0,0.0,62043.133333
8103,360000.0,1,0,1,48,0,0,0,0,0,0,167922.0,159433.0,126114.0,18258.0,6989.0,7691.0,6206.0,10030.0,1061.0,1011.0,3016.0,189853.0,1,0,1,0,0,486407.0,211177.0,2.30331428138481
27268,160000.0,1,0,1,42,2,2,0,0,2,2,14137.0,13613.0,14634.0,16532.0,15969.0,17701.0,0.0,1247.0,2145.0,0.0,2000.0,0.0,1,0,1,0,8,92586.0,5392.0,17.1709940652819
19118,20000.0,2,2,1,44,0,0,0,2,2,2,7661.0,8981.0,10860.0,12380.0,11400.0,0.0,1457.0,2600.0,2000.0,0.0,0.0,0.0,0,1,1,0,6,51282.0,6057.0,8.466567607726597
9611,150000.0,1,2,2,31,-1,-1,-1,-1,-1,-1,4213.0,5897.0,2365.0,5004.0,5531.0,3567.0,5914.0,2378.0,5019.0,5547.0,3576.0,5138.0,1,0,0,1,-6,26577.0,27572.0,0.9639126650224866
21758,180000.0,2,0,2,23,0,0,0,0,0,0,6825.0,4094.0,4268.0,5423.0,6423.0,7404.0,2015.0,3000.0,3000.0,1000.0,1814.0,3000.0,0,1,0,1,0,34437.0,13829.0,2.4902017499457663
23868,230000.0,1,1,2,29,-1,-1,0,0,0,0,566.0,5477.0,7996.0,6406.0,6040.0,6446.0,5480.0,4001.0,3000.0,3000.0,2000.0,5000.0,1,0,0,1,-2,32931.0,22481.0,1.464836973444242
27340,170000.0,1,1,1,37,1,2,0,0,0,0,77959.0,76115.0,79274.0,82034.0,85664.0,89272.0,0.0,5000.0,5000.0,5000.0,5000.0,5000.0,1,0,1,0,3,490318.0,25000.0,19.61272
1926,470000.0,2,1,2,26,0,0,0,0,0,0,169699.0,170309.0,167876.0,170610.0,173643.0,178083.0,6200.0,7000.0,5716.0,5982.0,7000.0,5500.0,0,1,0,1,0,1030220.0,37398.0,27.54746243114605
2686,100000.0,1,2,1,44,0,0,0,0,0,0,39649.0,43608.0,46899.0,47447.0,48035.0,40484.0,5000.0,5000.0,1554.0,1595.0,1686.0,1200.0,1,0,1,0,0,266122.0,16035.0,16.5963205487995
409,320000.0,2,0,2,27,0,0,0,0,0,0,55607.0,62893.0,59001.0,61565.0,59508.0,66541.0,11404.0,8232.0,10450.0,9697.0,16477.0,11341.0,0,1,0,1,0,365115.0,67601.0,5.4010295705684825
16115,290000.0,2,1,1,45,0,0,0,0,0,0,145023.0,115830.0,76453.0,59734.0,61238.0,63089.0,6000.0,4000.0,5500.0,2500.0,3000.0,3000.0,0,1,1,0,0,521367.0,24000.0,21.723625
27988,180000.0,2,0,1,30,-1,-1,-1,-1,-1,-1,1863.0,1863.0,2886.0,840.0,2052.0,1443.0,1863.0,2886.0,840.0,2052.0,1443.0,1443.0,0,1,1,0,-6,10947.0,10527.0,1.0398974066685664
8245,260000.0,1,1,2,27,0,0,0,0,0,0,150943.0,149285.0,151779.0,135141.0,124475.0,107735.0,5501.0,5061.0,5000.0,5000.0,3900.0,3246.0,1,0,0,1,0,819358.0,27708.0,29.571170781001875
22457,270000.0,2,1,1,31,-1,-1,0,0,0,0,6894.0,14246.0,43615.0,33336.0,36045.0,28725.0,14305.0,43000.0,1740.0,16045.0,2000.0,5000.0,0,1,1,0,-2,162861.0,82090.0,1.9839322694603485
13432,300000.0,2,0,1,58,-2,-2,-2,-2,-2,-2,1257.0,2851.0,0.0,4319.0,0.0,0.0,2851.0,0.0,4319.0,0.0,0.0,6860.0,0,1,1,0,-12,8427.0,14030.0,0.6006414825374198
17147,150000.0,2,1,1,27,-2,-2,-2,-2,-2,-2,5560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,-12,5560.0,0.0,62043.133333
11368,200000.0,2,0,1,34,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,-9,0.0,0.0,10.054345
16971,30000.0,1,2,1,54,3,3,3,2,0,0,29391.0,30224.0,29472.0,56952.0,28476.0,28296.0,1600.0,0.0,0.0,600.0,600.0,1000.0,1,0,1,0,11,202811.0,3800.0,53.371315789473684
29739,240000.0,1,0,2,35,0,0,0,0,0,0,241499.0,236556.0,229622.0,202296.0,165639.0,159245.0,8500.0,10200.0,8366.0,6070.0,10000.0,6043.0,1,0,0,1,0,1234857.0,49179.0,25.10943695479778
23605,180000.0,2,1,1,35,-1,-1,-1,-1,-1,-1,11285.0,11781.0,13613.0,8401.0,1859.0,429.0,11798.0,13694.0,8401.0,1859.0,429.0,946.0,0,1,1,0,-6,47368.0,37127.0,1.2758369919465617
10507,20000.0,2,1,2,22,0,0,2,2,2,2,15189.0,17802.0,17219.0,18377.0,17941.0,19572.0,2869.0,0.0,1444.0,0.0,1933.0,0.0,0,1,0,1,8,106100.0,6246.0,16.986871597822606
8935,330000.0,1,1,1,34,-1,-1,-2,-2,-2,-2,901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,-10,901.0,0.0,62043.133333
27421,300000.0,1,1,1,35,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,-12,0.0,0.0,10.054345
24999,30000.0,1,2,1,35,0,0,0,0,0,0,28486.0,28182.0,26168.0,23119.0,23268.0,29327.0,2000.0,3000.0,5000.0,3000.0,7000.0,1156.0,1,0,1,0,0,158550.0,21156.0,7.494327850255247
8394,170000.0,2,1,1,47,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,-12,0.0,0.0,10.054345
27810,170000.0,2,2,2,26,2,2,2,0,0,0,63977.0,63630.0,51986.0,90196.0,50464.0,48282.0,2550.0,0.0,3500.0,3000.0,2001.0,3000.0,0,1,0,1,6,368535.0,14051.0,26.228382321542952
9988,10000.0,1,0,2,27,0,0,0,0,0,-1,6599.0,7736.0,8492.0,8138.0,4990.0,1598.0,1400.0,1000.0,1009.0,1000.0,1598.0,0.0,1,0,0,1,-1,37553.0,6007.0,6.25153987015149
27735,90000.0,2,1,2,23,0,0,0,0,-1,-1,88015.0,69701.0,52046.0,42541.0,8571.0,4653.0,5640.0,16021.0,13280.0,8571.0,19653.0,12000.0,0,1,0,1,-2,265527.0,75165.0,3.5325883057274
27513,330000.0,1,1,1,48,-1,-1,-1,-1,0,0,933.0,12663.0,10151.0,60841.0,41945.0,21183.0,12701.0,10183.0,62619.0,1945.0,1183.0,115647.0,1,0,1,0,-4,147716.0,204278.0,0.7231126210360391
